title;price;rating;reviews;specifications
Amazon Fire Max 11 tablet (newest model) vivid 11” display, all-in-one for streaming, reading, and gaming, 14-hour battery life, optional stylus and keyboard, 64 GB, Gray;Page 1 of 1;4.4 out of 5 stars;10,819 ratings;
Amazon Fire 7 tablet (newest model) 7” display, read and watch, under $60 with 10-hour battery life, 16 GB, Black;Page 1 of 1;4.4 out of 5 stars;18,165 ratings;
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode";$279.99;4.4 out of 5 stars;39,484 ratings;Brand   acer     Model Name   Laptop     Screen Size   15.6 Inches     Color   Silver     Hard Disk Size   128 GB     CPU Model   Ryzen 3     Ram Memory Installed Size   8 GB     Operating System   Windows 11 S     Special Feature   Backlit Keyboard     Graphics Card Description   Integrated
HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White);$178.49;4.0 out of 5 stars;2,015 ratings;Brand   HP     Model Name   14-dq0040nr     Screen Size   14 Inches     Color   Snowflake White     Hard Disk Size   64 GB     CPU Model   Celeron N4020     Ram Memory Installed Size   4 GB     Operating System   Windows 11 S     Special Feature   Micro-edge Bezel     Graphics Card Description   Integrated
"Laptop, 2024 Gaming Laptop Computer with Intel N150 Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life";$389.99;5.0 out of 5 stars;4 ratings;Brand   KAIGERR     Model Name   AX15     Screen Size   15.6 Inches     Color   Space Gray     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S";$265.99;4.1 out of 5 stars;2,056 ratings;Brand   HP     Model Name   HP Laptop     Screen Size   14 Inches     Color   Snowflake White     Hard Disk Size   64 GB     CPU Model   Celeron N     Ram Memory Installed Size   8 GB     Operating System   Windows 11 Home     Graphics Card Description   Integrated     Graphics Coprocessor   Intel UHD Graphics 600
"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black";Page 1 of 1;4.5 out of 5 stars;123,448 ratings;
"Gaming Laptop, 2024 Laptop Computer with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life";$379.99;5.0 out of 5 stars;3 ratings;Brand   KAIGERR     Model Name   AX15     Screen Size   15.6 Inches     Color   Space Gray     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue;$199.20;4.3 out of 5 stars;579 ratings;Brand   Lenovo     Model Name   Newest Flagship Lenovo Chromebook     Screen Size   14 Inches     Color   Blue     Hard Disk Size   64 GB     CPU Model   Cortex     Ram Memory Installed Size   4 GB     Operating System   Chrome OS     Special Feature   Backlit Keyboard     Graphics Card Description   Integrated
ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black);$149.00;4.0 out of 5 stars;712 ratings;Brand   ASUS     Model Name   Asus     Screen Size   14 Inches     Color   Black     Hard Disk Size   64 GB     CPU Model   Celeron     Ram Memory Installed Size   4 GB     Operating System   Windows 10     Special Feature   Anti Glare Coating     Graphics Card Description   Integrated
16.0-inch Laptop, 16GB DDR4 512GB SSD Gaming Laptop, Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life;$389.99;4.5 out of 5 stars;33 ratings;Brand   KAIGERR     Model Name   AX16     Screen Size   16 Inches     Color   Sliver Gray     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Lightweight, Numeric Keypad     Graphics Card Description   Integrated
Amazon Fire Max 11 Keyboard Case (Only compatible with 13th generation tablet, 2023 release);;4.6 out of 5 stars;1,672 ratings;
Laptop,15.6In Windows 11 Pro Traditional Gaming Laptops Computer with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB DDR4 512GB Hard Drive for Business, School, Offic;$359.99;5.0 out of 5 stars;9 ratings;Brand   MALLRACE     Model Name   LX15     Screen Size   15.6 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey";$156.00;4.2 out of 5 stars;1,152 ratings;Brand   ASUS     Model Name   Chromebook CM14     Screen Size   14 Inches     Color   Gravity Grey     CPU Model   MediaTek Helio     Ram Memory Installed Size   4 GB     Operating System   Chrome OS     Special Feature   Memory Card Slot     Graphics Card Description   Integrated     Graphics Coprocessor   ASUS
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9";$649.99;4.4 out of 5 stars;1,251 ratings;Brand   acer     Model Name   Nitro V     Screen Size   15.6 Inches     Color   Black     Hard Disk Size   512 GB     CPU Model   Intel Core i5     Ram Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard     Graphics Card Description   Dedicated
"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black";$498.66;4.1 out of 5 stars;109 ratings;Brand   Dell     Model Name   Dell inspiron     Screen Size   15.6 Inches     Color   Black     Hard Disk Size   1 TB     CPU Model   Core i5     Ram Memory Installed Size   32 GB     Operating System   Windows 11 Pro     Special Feature   HD Audio     Graphics Card Description   Integrated
2024 Laptop,17.3-Inch FHD Display Gaming Laptop with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver;$399.98;5.0 out of 5 stars;11 ratings;Brand   MALLRACE     Model Name   AX17     Screen Size   17.3 Inches     Color   Sliver     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
2024 Gaming Laptop, Laptop with AMD Ryzen 9 6900HX (8C/16T, Up to 4.9GHz), 16GB DDR5 512GB NVMe SSD Laptop Computer, 16-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB;$699.99;5.0 out of 5 stars;6 ratings;Brand   KAIGERR     Model Name   RX16     Screen Size   16 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   Ryzen 9     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Lightweight, Backlit Keyboard, Numeric Keypad     Graphics Card Description   Integrated
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold";$309.00;4.3 out of 5 stars;2,124 ratings;Brand   HP     Model Name   HP Stream     Screen Size   14 Inches     Color   Gold     Hard Disk Size   128 GB     CPU Model   Celeron     Ram Memory Installed Size   16 GB     Operating System   Windows 11 S     Special Feature   Anti Glare Coating     Graphics Card Description   Integrated
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver";$207.00;4.0 out of 5 stars;1,882 ratings;Brand   HP     Model Name   TPN-Q221     Screen Size   14 Inches     Color   Silver     Hard Disk Size   64 GB     CPU Model   Celeron     Ram Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
2024 Laptop,17.3-Inch FHD Display Gaming Laptop with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver;$399.98;5.0 out of 5 stars;11 ratings;Brand   MALLRACE     Model Name   AX17     Screen Size   17.3 Inches     Color   Sliver     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"Like-New Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black";Page 1 of 1;4.5 out of 5 stars;7,440 ratings;
Laptop,15.6In Windows 11 Pro Traditional Gaming Laptops Computer with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB DDR4 512GB Hard Drive for Business, School, Offic;$359.99;5.0 out of 5 stars;9 ratings;Brand   MALLRACE     Model Name   LX15     Screen Size   15.6 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
2024 Laptop,17.3-Inch FHD Display Gaming Laptop with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver;$399.98;5.0 out of 5 stars;11 ratings;Brand   MALLRACE     Model Name   AX17     Screen Size   17.3 Inches     Color   Sliver     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"Lenovo 11.6"" 300e Chromebook Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)";Page 1 of 1;3.8 out of 5 stars;2,434 ratings;Brand   Lenovo     Model Name   Chromebook     Screen Size   11.6 Inches     Color   Black     Hard Disk Size   32 GB     CPU Model   Mediatek Mt8173C     Ram Memory Installed Size   4 GB     Operating System   Chrome OS     Special Feature   Anti Glare Coating     Graphics Card Description   Integrated
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver";$207.00;4.0 out of 5 stars;1,882 ratings;Brand   HP     Model Name   TPN-Q221     Screen Size   14 Inches     Color   Silver     Hard Disk Size   64 GB     CPU Model   Celeron     Ram Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
2024 Laptop,17.3-Inch FHD Display Gaming Laptop with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB RAM 512GB ROM Traditional Laptop Computer, 6000Mah Battery,Silver;$399.98;5.0 out of 5 stars;11 ratings;Brand   MALLRACE     Model Name   AX17     Screen Size   17.3 Inches     Color   Sliver     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
ACEMAGIC Laptop, Windows 11 Laptop Computer,16GB DDR4 512GB SSD Laptops, Intel Quad-Core Processor, 180° Open Angle,Long Battery Life,Metal Shell,WiFi,USB3.2, Type C;$1,009.99;4.2 out of 5 stars;176 ratings;Brand   ACEMAGIC     Model Name   AX15     Screen Size   15.6 Inches     Color   Sliver Gray     Hard Disk Size   512 GB     CPU Model   Intel Mobile CPU     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red";$289.99;4.2 out of 5 stars;784 ratings;Brand   HP     Model Name   TPN-Q284_632**AV     Screen Size   15.6 Inches     Color   Red     Hard Disk Size   128 GB     CPU Model   Pentium     Ram Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
"Acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 4060 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 16GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-99DR";$949.99;4.4 out of 5 stars;434 ratings;Brand   acer     Model Name   Nitro V Gaming Laptop ANV15-51-99DR     Screen Size   15.6 Inches     Color   Black     Hard Disk Size   512 GB     CPU Model   Intel Core i9     Ram Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard     Graphics Card Description   Dedicated
ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74;$1,269.21;4.4 out of 5 stars;1,547 ratings;Brand   ASUS     Model Name   Strix G16     Screen Size   16 Inches     Color   Eclipse Gray     Hard Disk Size   1 TB     CPU Model   Core i7     Ram Memory Installed Size   16 GB     Operating System   Windows 11 Home     Graphics Card Description   Dedicated     Graphics Coprocessor   NVIDIA GeForce RTX 4060
"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 64GB RAM, 2TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black";$658.95;3.9 out of 5 stars;89 ratings;Brand   HP     Model Name   TPN-Q287     Screen Size   15.6 Inches     Color   Black     Hard Disk Size   2 TB     CPU Model   Ryzen 7     Ram Memory Installed Size   64 GB     Operating System   Windows 11 Pro     Special Feature   Numeric Keypad     Graphics Card Description   Integrated
2024 Gaming Laptop, 16.1-inch FHD Display Laptop with AMD Ryzen 7 5825U Processor(8C/16T) with Backlit Keyboard,16GB DDR4 512GB M.2 2280 NVMe SSD Laptop Computer,Type-C WiFi6;$599.98;5.0 out of 5 stars;16 ratings;Brand   MALLRACE     Model Name   AX16PRO     Screen Size   16.1 Inches     Color   Gray     Hard Disk Size   512 GB     CPU Model   AMD Ryzen 7     Ram Memory Installed Size   16 GB     Operating System   Windows 11     Special Feature   Backlit Keyboard     Graphics Card Description   Integrated
